Sl.No.,Name of the Monument,Taluka,District
       1.    ,Hill Fort and buildings therein and the fortifications at the foot of the hill.,Gooty,Anantapur
       2.    ,Madhavaraya temple (old Vishnu temple),Gorantla,Anantapur
       3.    ,Outer wall of the Mahalakshmi temple,Goripalli,Anantapur
       4.    ,Group of sculptures,Hemavati,Anantapur
       5.    ,Group of old temples together with adjacent land,Hemavati,Anantapur
       6.    ,Large dolmen on a rocky hillock,kalyandurg,Anantapur
       7.    ,Mallikarjuna (siva) temple,Kambaduru,Anantapur
       8.    ,Virabhadra temple,Lepakashi,Anantapur
       9.    ,Basavannah temple,Lepakashi,Anantapur
      10.   ,Hill fort,Madakasira,Anantapur
      11.   ,Large bastion and an old gateway,Madakasira,Anantapur
      12.   ,Extensive hill-fortress with outlying fortification excluding the fort gate,Rayadurg,Anantapur
      13.   ,Palace and two temples of Rama and Krishna,Rayadurg,Anantapur
      14.   ,Chintalarayaswami temple,Tadpatri,Anantapur
      15.   ,Rameswaraswami temple,Tadpatri,Anantapur
      16.   ,Sitatirtham steeped well with entrance in the from of a bull,Penukonda,Anantapur
      17.   ,The Hill fort and northern gateway with inscriptions,Penukonda,Anantapur
      18.   ,The citadel and ruined buildings on the hill,Penukonda,Anantapur
      19.   ,Watch tower known as Rama's bastion,Penukonda,Anantapur
      20.   ,Small pavillion,Penukonda,Anantapur
      21.   ,Old gopuram,Penukonda,Anantapur
      22.   ,Old stamba or lamp pillar in the sub collector's office compound,Penukonda,Anantapur
      23.   ,Hill fort and a large wall,Penukonda,Anantapur
      24.   ,Lower Fort and structure,Chandragiri,Chittoor
      25.   ,Upper Fort,Chandragiri,Chittoor
      26.   ,Venkateswara Vishnu temple,Mangapuram (hamlet of Mittapalam),Chittoor
      27.   ,Chennakeswaraswami temple,Sompalle,Chittoor
      28.   ,Fort,Gurramkonda,Chittoor
      29.   ,"Lower Fort , Center Fort wall, moat, old fort gateway, old hanuman temple, old mandapam",Gurramkonda,Chittoor
      30.   ,Palliswara Mudaiya Madeya temple,Kalakada,Chittoor
      31.   ,Parasuramesvara temple,Gudimallam,Chittoor
      32.   ,Mahal,Gurramkonda,Chittoor
      33.   ,Bhimeshwara swamy temple,"Pushpagiri, (hamlet of kotluru)",Cuddapah
      34.   ,Indranadheshwara swamy temple,"Pushpagiri, (hamlet of kotluru)",Cuddapah
      35.   ,Kamalasambnashwara swamy temple,"Pushpagiri, (hamlet of kotluru)",Cuddapah
      36.   ,Raghaveswara swamy temple,"Pushpagiri, (hamlet of kotluru)",Cuddapah
      37.   ,Sivakesavaswamy temple,"Pushpagiri, (hamlet of kotluru)",Cuddapah
      38.   ,Trikoteswara swamy temple,"Pushpagiri, (hamlet of kotluru)",Cuddapah
      39.   ,Vaidhyanadha swamy temple,"Pushpagiri, (hamlet of kotluru)",Cuddapah
      40.   ,Ancient Village sites,Paddamudiyam,Cuddapah
      41.   ,Kondarama temple,Paddamudiyam,Cuddapah
      42.   ,Mukundesvara temple with inscriptions,Paddamudiyam,Cuddapah
      43.   ,Narasimha temple,Paddamudiyam,Cuddapah
      44.   ,Vigneswara swamy temple,Chilamakuru,Cuddapah
      45.   ,Remains of the buried jain temple,Danabalapadu,Cuddapah
      46.   ,"Fort with enclosed ancient buildings, Madhavaperumal temple",Gandikota,Cuddapah
      47.   ,Visvanatha swamy temple,Sivalpallu,Cuddapah
      48.   ,Saumyanatha temple,Nandalur,Cuddapah
      49.   ,Athirala parasurama temple,Poli,Cuddapah
      50.   ,Sri Kodandarma swamy temple and adjoining buildings,Vontimitta,Cuddapah
      51.   ,"Fort , Moat and buildings",Siddhout,Cuddapah
      52.   ,Old Vishnu temples with inscriptions,Peddanudiyam,Cuddapah
      53.   ,Agatheswar Swami Temple,Chilamkur,Cuddapah
      54.   ,Ruined Buuddhist stupa and other remains,Amaravati,Gumtur
      55.   ,Inscribed rock to the west of Dharanikota,Amaravati,Gumtur
      56.   ,Fort in ruins,Dharanikota,Gumtur
      57.   ,Ancient siva temple with inscription,Ayyangaripalam,Gumtur
      58.   ,Bhavanarayana temple,Bapatla,Gumtur
      59.   ,Ruined Buddhist stupa,Bhattiprolu,Gumtur
      60.   ,Kapoteswara temple with the inscriptional monuments within the temple site(slabs in the temple site),Chejerla,Gumtur
      61.   ,Mounds with ancient remains,Grandhesirl,Gumtur
      62.   ,Inscribed marble pillar near the Gopala temple,Ipuru,Gumtur
      63.   ,Ancient Buddhist remains and Brahmi inscriptions on the mound,Manchikallu,Gumtur
      64.   ,Mounds with ancient remains,Velpur,Gumtur
      65.   ,Fort-storeyed rock-cut Hindu temple,Undavalli,Gumtur
      66.   ,"The Sculptures, carvings, images or other like objects discovered within the revenue limit",Buddam,Gumtur
      67.   ,Mound,Nagulavaram,Gumtur
      68.   ,Hill of Nagarjunakonda with the ancient remains,Pullareddigudem (Agarharam),Gumtur
      69.   ,"The Sculptures, carvings, images on the ancient mound",Pullareddigudem,Gumtur
      70.   ,Reconstructed monumets at Anupu and Nagarjunklonda hilltop,Nagarjunakonda,Guntur
      71.   ,Mounds containing Buddhist remains such as stupas,Adurru,East Godavari
      72.   ,"Rock-cut caves and cisterns and remains of Buddhist Stupas, Chatyas and Viharas (monasteries) on the hill pandavula or pandavakonda",Kapavaram,East Godavari
      73.   ,Buddhist remains at Kodavali,Kodavali,East Godavari
      74.   ,Bhimeswara temple,"Samalkot, Bhimavaram",East Godavari
      75.   ,Bhimeswara temple,Draksharama,East Godavari
      76.   ,Gollingeswara group of temples,Biccavolu,East Godavari
      77.   ,Monolithic Ganesh Image,Biccavolu,East Godavari
      78.   ,Ancient site and remains comprised in survey plot No. 37,Munagacherla,Krishna
      79.   ,Ancient site with the mound marking the Buddhist Stupas in it.,Alluru,Krishna
      80.   ,Buddhist remains in a mound,Ghantasala,Krishna
      81.   ,Mound containing Budhist remains and ancient village site.,Gudivada,Krishna
      82.   ,Hillock containing the mound marking the ancient remains of Budhist stupas situated on it,Gummadiduru,Krishna
      83.   ,"Bandar Fort 1) Armoury known as Fort and customs office, Bandar Fort customs office, 2) Belfry",Masulipathnam,Krishna
      84.   ,Dutch cemetry,Masulipathnam,Krishna
      85.   ,Buddhist remains of a Stupa on the hill,Jaggayyapeta,Krishna
      86.   ,Four pillars in the ruined mandapam in Jammidoddi,Vijayawada,Krishna
      87.   ,Two rock-cut cave temples on the Indrakila hill known as Akkanna caves Kiratarjuna pillar and slab the Indrakila hil Inscribed pillar and slab in Malleswaraswami temple,Vijayawada,Krishna
      88.   ,Rock-cut cave temples on the Hill,Mogalrajapuram,Krishna
      89.   ,"Sculptures, carvings, images other like objects found in the vicinity of the old Mosque",Gudur,Krishna
      90.   ,Inscribed Pillar and slab in Mallesvarasvami temple,Vijayawada,Krishna
      91.   ,Kiratharjuna Pillar on the Indrakilla Hill,Vijayawada,Krishna
      92.   ,Ruined fort and buildings therein except Ramazan masjid,Adoni,kurnool
      93.   ,Inscribed stone lying to the east of siva temple,Rayachoti,kurnool
      94.   ,Inscribed boulder bearing Andhra records of 150 A.D.,Chinnakadaburu,kurnool
      95.   ,A prominent granite hillock bearing Asokan inscriptions,Jonnagiri,kurnool
      96.   ,"The One Asokan inscription, Two early Chalukya inscriptions and One late Chalukya inscriptions.",Rajulamandagiri,kurnool
      97.   ,Mausaleum known as Abdul Wahab Khan's Tomb and adjoining buildings,Kurnool,kurnool
      98.   ,"Gateways and the bastions of the old fort, viz; 1) Bastion No.1 Beach Ghantki Buruzu; 2) Bastion No. 2 Lal Bangalow Buruzu; 3) Gateway to Gopala Darwaja; 4) Gateway to Panikiddi",Kurnool,kurnool
      99.   ,Nandavaram Temple including the sculpture of Subrahamanya,Nandavaram,kurnool
    100. ,Old Cave Temple,Yaganti,kurnool
    101. ,Uma-Mahesvaraswami Temple,Yaganti,kurnool
    102. ,Mound known as 'Bodipati Dibba',Ramatirtham (Hamlet of Varini),Nellore
    103. ,Ancient Mound,Ramatirtham,Nellore
    104. ,Hill Fort with Ancient buildings therein,Udayagiri,Nellore
    105. ,"Krishna Temple in a part of Donka with Gopuram, Kalyanamandapam and Masonry built Tank",Udayagiri,Nellore
    106. ,Ranganayakula Temple,Udayagiri,Nellore
    107. ,Ancient Mounds,Kanuparti,Prakasam
    108. ,A group of eight rock-cut temples in Bhairavakonda hill,Kottapalli,Prakasam
    109. ,Chola Temple,Motupalle,Prakasam
    110. ,Ancient Mound,Pedaganjam,Prakasam
    111. ,Pitikeswara group of temples including Approach road,Pittikayagulla,Prakasam
    112. ,Ancient Site,Pusalapadu,Prakasam
    113. ,Remalingesvara group of temples,Satiavel,Prakasam
    114. ,Ancient Buddhist site,Kalingapatnam,Srikakulam
    115. ,Sri Somesvara temple,Mukhalingam,Srikakulam
    116. ,"Bhimesvara temple, Mukhalingesvara temple",Mukhalingesvara,Srikakulam
    117. ,Buddhist remains; 1) Six Images; 2) Three images and some more images on the hill; 3) One image; 4) Three images,Salihundam,Srikakulam
    118. ,Eastern portion of Salihundam hill containing Buddhist remains ( A Chaitya and four stupas),Salihundam,Srikakulam
    119. ,Ancient Buddhist Mounds locally known as 'Dhana Dibbalu',Kotturu (near Gokivada forest),Vishakhapatnam
    120. ,"Buddhist rock-cut stupas, Dagabas and caves and the ruins of a structural Chaitya with its outbuilding and other Ancient remains on twoadjoining hills known as Bojjanna Konda.",Sankaram,Vishakhapatnam
    121. ,(Durga Bhairavakonda) having an ancient monument called Durga,Nilavati,Vizianagaram
    122. ,Ruined Buddhist Monastery at Gurubhaktulakonda,Ramatirthalu Ramatirtham,Vizianagaram
    123. ,"The old, Dibbesvarasvamipur temple",Sarapalli (Sarapalle),Vizianagaram
    124. ,Mounds containing Buddhist remains,Arugolanu,West Godavari
    125. ,Mounds locally known as Bhimalingadibba,Denduluru,West Godavari
    126. ,Buddhist monuments; 1) Rock-cut temple 2) Large Monastery 3) Small Monastery 4) Brick Chaitya 5) Ruined Mandapa 6) Stone built Stupa and Large group of stupas.,Guntupalle,West Godavari
    127. ,The caves and structural stupa of Archaeological interest on Dharmalingesvarasvami hill,Jilakarragudem (Hamlet of Guntupalle),West Godavari
    128. ,"The mounds of Pedavegi : Dibba No.1 Dibba No.2, Dibba No. 3, Dibba No. 4, Dibba No. 5.",Pedavegi,West Godavari
    129. ,Ancient Mounds,Pedavegi,West Godavari
